Código,Título,Preço,Endereço,Quartos,Banheiros,Área,Link,Quantidade de Imagens
-2092,Sem título,"R$ 2.395.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/casa-torres-centro-4-quartos-2-garagens-venda-ref-2092/,0
-1471,Sem título,"R$ 1.341.455,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-acropole-torres-praia-da-cal-2-quartos-1-garagem-venda-ref-1471/,0
-1633,Sem título,"R$ 1.080.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-mariechen-torres-centro-3-quartos-1-garagem-venda-ref-1633/,0
-1937,Sem título,"R$ 590.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/cobertura-duplex-no-edificio-acores-torres-predial-3-quartos-1-garagem-venda-ref-1937/,0
-1437,Sem título,"R$ 1.500.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-atlantis-torres-praia-grande-3-quartos-1-garagem-venda-ref-1437/,0
-2256,Sem título,"R$ 395.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-loteamento-torres-morada-das-palmeiras-venda-ref-2256/,0
-2241,Sem título,"R$ 3.025.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-torres-centro-venda-ref-2241/,0
-2254,Sem título,"R$ 560.000,00
    aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/sobrado-no-residencial-emiliano-torres-morada-das-palmeiras-2-quartos-1-garagem-venda-ref-2254/,0
-2253,Sem título,R$ 1.351.115,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-london-torres-predial-3-quartos-2-garagens-venda-ref-2253/,0
-2252,Sem título,R$ 1.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-sonatta-torres-centro-2-quartos-1-garagem-venda-ref-2252/,0
-2245,Sem título,"R$ 305.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",1,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-ilha-de-corais-torres-centro-1-quarto-venda-ref-2245/,0
-2251,Sem título,"R$ 1.335.550,00
    aceita permuta aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-origem-torres-centro-2-quartos-1-garagem-venda-ref-2251/,0
-1297,Sem título,"a partir de R$ 680.800,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-topazio-torres-centro-2-quartos-1-garagem-venda-ref-1297/,0
-2250,Sem título,"R$ 3.850.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/cobertura-triplex-no-edificio-porto-do-sol-torres-predial-4-quartos-2-garagens-venda-ref-2250/,0
-2219,Sem título,"R$ 720.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/sobrado-no-mare-di-vitta-iv-torres-morada-das-palmeiras-2-quartos-1-garagem-venda-ref-2219/,0
-2248,Sem título,"R$ 2.000.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-casablanca-torres-praia-grande-3-quartos-1-garagem-venda-ref-2248/,0
-995,Sem título,R$ 1.480.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-morada-da-praia-torres-praia-grande-4-quartos-2-garagens-venda-ref-995/,0
-1251,Sem título,R$ 360.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-venda-ref-1251/,0
-2246,Sem título,R$ 360.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-venda-ref-2246/,0
-2247,Sem título,R$ 360.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-venda-ref-2247/,0
-2244,Sem título,R$ 360.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-venda-ref-2244/,0
-1412,Sem título,R$ 1.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",1,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-vesta-torres-centro-1-quarto-1-garagem-venda-ref-1412/,0
-1740,Sem título,"R$ 1.870.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-titanium-torres-predial-3-quartos-2-garagens-venda-ref-1740/,0
-2242,Sem título,R$ 360.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-venda-ref-2242/,0
-1038,Sem título,R$ 360.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-venda-ref-1038/,0
-2240,Sem título,"R$ 730.000,00
    aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-ocean-side-torres-ocean-side-venda-ref-2240/,0
-1286,Sem título,"R$ 972.000,00
    aceita permuta aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-splendor-torres-praia-grande-3-quartos-1-garagem-venda-ref-1286/,0
-69,Sem título,"R$ 10.159.042,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/casa-no-solos-casas-suspensas-torres-prainha-4-quartos-4-garagens-venda-ref-69/,0
-1895,Sem título,"R$ 945.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/casa-no-igra-sul-torres-torres-igra-sul-3-quartos-2-garagens-venda-ref-1895/,0
-1989,Sem título,"R$ 1.000.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/casa-torres-centenario-3-quartos-2-garagens-venda-ref-1989/,0
-2159,Sem título,"R$ 595.035,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/sobrado-torres-morada-das-palmeiras-2-quartos-1-garagem-venda-ref-2159/,0
-1797,Sem título,R$ 650.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/casa-torres-lagoa-jardim-3-quartos-1-garagem-venda-ref-1797/,0
-608,Sem título,"R$ 680.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-torres-ocean-side-venda-ref-608/,0
-1245,Sem título,"R$ 800.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-torres-ocean-side-venda-ref-1245/,0
-396,Sem título,"R$ 730.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-torres-ocean-side-venda-ref-396/,0
-1710,Sem título,"R$ 705.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-ocean-side-torres-ocean-side-venda-ref-1710/,0
-1082,Sem título,"R$ 750.000,00
    aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-ocean-side-torres-ocean-side-venda-ref-1082/,0
-494,Sem título,"R$ 1.200.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-torres-ocean-side-venda-ref-494/,0
-554,Sem título,"R$ 2.280.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-ocean-side-torres-ocean-side-venda-ref-554/,0
-482,Sem título,"R$ 950.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-torres-ocean-side-venda-ref-482/,0
-397,Sem título,"R$ 980.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-torres-ocean-side-venda-ref-397/,0
-2109,Sem título,"R$ 357.000,00
    aceita permuta financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/predio-residencial-edificio-santa-monica-passo-de-torres-rota-do-sol-2-quartos-1-garagem-venda-ref-2109/,0
-1445,Sem título,R$ 530.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",1,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-ilha-de-porto-belo-torres-predial-1-quarto-venda-ref-1445/,0
-1612,Sem título,R$ 2.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/casa-em-condominio-no-reserva-das-aguas-torres-reserva-das-aguas-3-quartos-2-garagens-venda-ref-1612/,0
-1800,Sem título,R$ 1.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-vesta-torres-centro-2-quartos-1-garagem-venda-ref-1800/,0
-1837,Sem título,R$ 1.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-vesta-torres-centro-2-quartos-1-garagem-venda-ref-1837/,0
-1917,Sem título,R$ 1.890.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-vesta-torres-centro-2-quartos-2-garagens-venda-ref-1917/,0
-2190,Sem título,R$ 1.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-vesta-torres-centro-2-quartos-1-garagem-venda-ref-2190/,0
-2223,Sem título,R$ 1.190.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-plaza-mayor-torres-centro-2-quartos-1-garagem-venda-ref-2223/,0
-407,Sem título,"R$ 1.590.000,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo
Previsão de Entrega: junho  / 2026","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-mirage-torres-predial-4-quartos-2-garagens-venda-ref-407/,0
-1541,Sem título,"a partir de R$ 3.050.000,00
    aceita permuta","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",N/A,N/A,N/A,https://www.novatorres.com.br/imovel/terreno-em-condominio-no-pedra-hiding-place-torres-pedra-hilding-places-venda-ref-1541/,0
-2086,Sem título,"a partir de R$ 929.620,25
    aceita permuta financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-dunna-torres-praia-grande-2-quartos-1-garagem-venda-ref-2086/,0
-1083,Sem título,"R$ 1.177.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-paris-torres-centro-3-quartos-1-garagem-venda-ref-1083/,0
-1792,Sem título,R$ 1.351.115,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-giardino-torres-predial-2-quartos-1-garagem-venda-ref-1792/,0
-1669,Sem título,"R$ 980.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/predio-residencial-edificio-san-matteo-2-passo-de-torres-centro-3-quartos-1-garagem-venda-ref-1669/,0
-1722,Sem título,"R$ 835.000,00
    aceita permuta financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-mare-di-guarita-torres-praia-da-cal-2-quartos-1-garagem-venda-ref-1722/,0
-1580,Sem título,"R$ 866.439,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-mare-di-guarita-torres-praia-da-cal-2-quartos-1-garagem-venda-ref-1580/,0
-453,Sem título,"R$ 850.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/casa-torres-centro-3-quartos-1-garagem-venda-ref-453/,0
-1240,Sem título,"R$ 850.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/casa-torres-igra-sul-4-quartos-2-garagens-venda-ref-1240/,0
-925,Sem título,"R$ 570.000,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/casa-passo-de-torres-centro-2-quartos-1-garagem-venda-ref-925/,0
-2211,Sem título,"R$ 756.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/casa-torres-stan-3-quartos-2-garagens-venda-ref-2211/,0
